% Model:              BSweep_HighdefMappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 18:04
% Dimension:          2
% Nodes:              33838
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, 
% Length unit:        mm
% r                       z                        B0                       ec.Jr (A/m^2)            v (m/s)                  B0 (T)
0.10010918310861854       0.5                      0.5                      28.757601076327795       -1.266483437264362E-7    0.5
0.10021836621723709       0.5                      0.5                      28.72623659791467        -2.532966873690058E-7    0.5
0.09999999999999998       0.5                      0.5                      28.78896706801428        -8.388607999999933E-17   0.5
0.1003289744923355        0.5                      0.5                      28.694597877222726       -3.810997068580152E-7    0.5
0.10043958276743387       0.5                      0.5                      28.662959184419307       -5.089027263470112E-7    0.5
0.10055163481170176       0.5                      0.5                      28.63104526606473        -6.378652613684466E-7    0.5
0.10066368685596966       0.5                      0.5                      28.599131376648053       -7.66827796389884E-7     0.5
0.10077720151491765       0.5                      0.5                      28.566941306497466       -8.969545695006957E-7    0.5
0.10089071617386564       0.5                      0.5                      28.53475126513488        -1.0270813426115088E-6   0.5
0.10100571253899457       0.5                      0.5                      28.502284112944814       -1.1583769554383835E-6   0.5
0.10112070890412347       0.5                      0.5                      28.469816989925576       -1.2896725682652582E-6   0.5
0.10123720631613549       0.5                      0.5                      28.437071854728565       -1.4221414976516275E-6   0.5
0.10135370372814755       0.5                      0.5                      28.404326749766266       -1.5546104270379985E-6   0.5
0.10147172178019889       0.5                      0.5                      28.371302759336          -1.6882570211388912E-6   0.5
0.1015897398322502        0.5                      0.5                      28.338278798670625       -1.821903615239784E-6    0.5
0.10170929837324641       0.5                      0.5                      28.30497510750501        -1.956732089565183E-6    0.5
0.1018288569142426        0.5                      0.5                      28.271671446583557       -2.0915605638905838E-6   0.5
0.10194997605217687       0.5                      0.5                      28.238087240297233       -2.227574997297005E-6    0.5
0.10207109519011115       0.5                      0.5                      28.204503064055103       -2.363589430703441E-6    0.5
0.10219379529544621       0.5                      0.5                      28.17063755543489        -2.5007937613342807E-6   0.5
0.10231649540078128       0.5                      0.5                      28.13677207798402        -2.6379980919651076E-6   0.5
0.10244079710987536       0.5                      0.5                      28.102624513218142       -2.776396113139714E-6    0.5
0.10256509881896947       0.5                      0.5                      28.068476980126633       -2.9147941343143184E-6   0.5
0.10269102303754718       0.5                      0.5                      28.034046633747963       -3.0543894903662466E-6   0.5
0.10281694725612486       0.5                      0.5                      27.999616320015893       -3.1939848464181748E-6   0.5
0.10294451516279299       0.5                      0.5                      27.964902500084307       -3.3347810284825636E-6   0.5
0.10307208306946111       0.5                      0.5                      27.930188712475754       -3.4755772105469685E-6   0.5
0.10320131611927072       0.5                      0.5                      27.89519075751584        -3.6175775522976078E-6   0.5
0.10333054916908031       0.5                      0.5                      27.860192835176765       -3.759577894048235E-6    0.5
0.10346146909713505       0.5                      0.5                      27.824910116449573       -3.902785567384391E-6    0.5
0.10359238902518977       0.5                      0.5                      27.78962743169119        -4.045993240720549E-6    0.5
0.10372501785030158       0.5                      0.5                      27.754059353800507       -4.190411251404117E-6    0.5
0.10385764667541338       0.5                      0.5                      27.718491309857008       -4.334829262087687E-6    0.5
0.10399200670380554       0.5                      0.5                      27.68263731066036        -4.4804604453305064E-6   0.5
0.10412636673219772       0.5                      0.5                      27.646783346445922       -4.626091628573326E-6    0.5
0.10426248056125659       0.5                      0.5                      27.610642898522777       -4.772938644575483E-6    0.5
0.10439859439031547       0.5                      0.5                      27.574502484997193       -4.91978566057764E-6     0.5
0.1045364849123909        0.5                      0.5                      27.538075094500336       -5.067850990016755E-6    0.5
0.10467437543446638       0.5                      0.5                      27.5016477383407         -5.215916319455871E-6    0.5
0.10481406584072195       0.5                      0.5                      27.46493294615493        -5.365202258928E-6       0.5
0.10495375624697752       0.5                      0.5                      27.42821818961043        -5.514488198400128E-6    0.5
0.10509527003129093       0.5                      0.5                      27.391215572804178       -5.664996855812307E-6    0.5
0.10523678381560432       0.5                      0.5                      27.35421299188565        -5.815505513224487E-6    0.5
0.10538014477851876       0.5                      0.5                      27.316922163103598       -5.967238803139849E-6    0.5
0.10552350574143318       0.5                      0.5                      27.27963137063789        -6.118972093055209E-6    0.5
0.1056687379941601        0.5                      0.5                      27.242051978644525       -6.271931731990238E-6    0.5
0.10581397024688703       0.5                      0.5                      27.204472623834096       -6.424891370925269E-6    0.5
0.10596109821536143       0.5                      0.5                      27.166604354107417       -6.579078872600582E-6    0.5
0.10610822618383584       0.5                      0.5                      27.128736122405872       -6.733266374275894E-6    0.5
0.10625727461282436       0.5                      0.5                      27.090578698829248       -6.888683044820211E-6    0.5
0.10640632304181288       0.5                      0.5                      27.05242131255247        -7.04409971536455E-6     0.5
0.10655731699907542       0.5                      0.5                      27.013974494619916       -7.200746648472614E-6    0.5
0.10670831095633791       0.5                      0.5                      26.9755277144363         -7.3573935815806525E-6   0.5
0.1068612758368436        0.5                      0.5                      26.936791299722167       -7.5152716536254265E-6   0.5
0.1070142407173493        0.5                      0.5                      26.898054924046157       -7.6731497256702E-6      0.5
0.10716920224754778       0.5                      0.5                      26.85902874993787        -7.83225959077006E-6     0.5
0.10732416377774627       0.5                      0.5                      26.820002614649034       -7.991369455869918E-6    0.5
0.10748114801989428       0.5                      0.5                      26.780686555128682       -8.151711540910878E-6    0.5
0.10763813226204232       0.5                      0.5                      26.741370535683966       -8.312053625951837E-6    0.5
0.10779716561858725       0.5                      0.5                      26.701764505002405       -8.47362812556567E-6     0.5
0.10795619897513219       0.5                      0.5                      26.662158514627826       -8.635202625179503E-6    0.5
0.10811730819315221       0.5                      0.5                      26.6222624660829         -8.798009496677781E-6    0.5
0.10827841741117224       0.5                      0.5                      26.582366457925517       -8.960816368176051E-6    0.5
0.10844162958687505       0.5                      0.5                      26.54218038348958        -9.124855326441233E-6    0.5
0.1086048417625779        0.5                      0.5                      26.501994349861665       -9.28889428470642E-6     0.5
