% Model:              B0-sweep_MappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 14:12
% Dimension:          2
% Nodes:              1421
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, z-coordinate
% Length unit:        mm
% r                       z                        ec.Jr (A/m^2)            v (m/s)                  z (mm)
0.10002714467698277       0.5                      20.984216130624045       -1.794953371241322E-7    0.5
0.10005428935396561       0.5                      20.97853051248311        -3.5899062181938017E-7   0.5
0.09999999999999998       0.5                      20.98991043848178        -5.242879999999971E-14   0.5
0.10008157012755861       0.5                      20.97282236060304        -5.390931967934651E-7    0.5
0.10010885090115157       0.5                      20.967114269489294       -7.191957717674098E-7    0.5
0.10013626845370902       0.5                      20.961383514312416       -8.99906114743206E-7     0.5
0.10016368600626649       0.5                      20.955652880661237       -1.080616457719085E-6    0.5
0.10019124102356386       0.5                      20.949899482443577       -1.2619350279107458E-6   0.5
0.1002187960408612        0.5                      20.944146111591127       -1.4432535981022257E-6   0.5
0.10024648921211227       0.5                      20.938369879557943       -1.6251808359744468E-6   0.5
0.10027418238336333       0.5                      20.93259378780613        -1.8071080738465988E-6   0.5
0.10030201440123737       0.5                      20.926794659575997       -1.9896444008704874E-6   0.5
0.10032984641911143       0.5                      20.920995628850815       -2.1721807278943103E-6   0.5
0.10035781797975063       0.5                      20.91517347375924        -2.3553265463026598E-6   0.5
0.10038578954038985       0.5                      20.909351456294385       -2.5384723647109262E-6   0.5
0.10041390134342673       0.5                      20.903506160442404       -2.7222280572511508E-6   0.5
0.1004420131464636        0.5                      20.897661016740244       -2.9059837497913143E-6   0.5
0.10047026589503834       0.5                      20.89179249818926        -3.0903496794753915E-6   0.5
0.10049851864361309       0.5                      20.885924096111943       -3.2747156091594077E-6   0.5
0.10052691304439136       0.5                      20.88003224766254        -3.4596921190136046E-6   0.5
0.1005553074451696        0.5                      20.874140470106113       -3.6446686288677325E-6   0.5
0.10058384420836004       0.5                      20.868225145782674       -3.830256041679024E-6    0.5
0.10061238097155052       0.5                      20.862309891884436       -4.01584345449025E-6     0.5
0.10064106081092267       0.5                      20.856370972181168       -4.202042072550728E-6    0.5
0.1006697406502948        0.5                      20.8504321471071         -4.388240690611154E-6    0.5
0.10069856428319665       0.5                      20.84446950752674        -4.575050795460573E-6    0.5
0.10072738791609848       0.5                      20.838506955464695       -4.761860900309915E-6    0.5
0.10075635606347488       0.5                      20.83252052031071        -4.949282752478108E-6    0.49999999999999994
0.10078532421085129       0.5                      20.82653411204815        -5.1367046046462485E-6   0.5
0.10081443759726155       0.5                      20.820523700663927       -5.324738443389373E-6    0.5
0.1008435509836718        0.5                      20.81451336565074        -5.512772282132463E-6    0.49999999999999994
0.10087281033730809       0.5                      20.808478884264858       -5.701418325171719E-6    0.49999999999999994
0.10090206969094438       0.5                      20.80244446715642        -5.890064368210914E-6    0.5
0.10093147574364977       0.5                      20.79638579405089        -6.079322811465612E-6    0.5
0.10096088179635516       0.5                      20.790327172727658       -6.268581254720257E-6    0.5
0.10099043528364207       0.5                      20.78424414481458        -6.458452272041426E-6    0.5
0.10101998877092895       0.5                      20.77816123987394        -6.648323289362531E-6    0.5
0.10104969043199744       0.5                      20.772053768895773       -6.838807032262789E-6    0.5
0.10107939209306589       0.5                      20.765946382381287       -7.0292907751629995E-6   0.5
0.10110924267082214       0.5                      20.75981430081339        -7.220387372545024E-6    0.5
0.10113909324857838       0.5                      20.75368234127339        -7.411483969927014E-6    0.5
0.10116909348965333       0.5                      20.747525599046327       -7.603193527809695E-6    0.5
0.1011990937307283        0.5                      20.74136892634145        -7.794903085692316E-6    0.5
0.10122924438549645       0.5                      20.735187329110744       -7.98722568693589E-6     0.5
0.10125939504026456       0.5                      20.729005785194232       -8.1795482881794E-6      0.5
0.10128969686286234       0.5                      20.722799195856282       -8.372483992205672E-6    0.5
0.10131999868546011       0.5                      20.716592717736305       -8.565419696231907E-6    0.5
0.10135045243380529       0.5                      20.710361034269255       -8.758968538746945E-6    0.5
0.10138090618215047       0.5                      20.704129438612597       -8.95251738126192E-6     0.5
0.10141151261796058       0.5                      20.697872506901774       -9.146679373971068E-6    0.5
0.10144211905377068       0.5                      20.691615650041868       -9.340841366680074E-6    0.49999999999999994
0.10147287894258247       0.5                      20.685333324293254       -9.535616497005822E-6    0.5
0.10150363883139424       0.5                      20.67905108457208        -9.730391627331628E-6    0.5
0.10153455294258258       0.5                      20.672743273796414       -9.925779858126643E-6    0.5
0.10156546705377095       0.5                      20.66643552341681        -1.0121168088921634E-5   0.5
0.10159653616056827       0.5                      20.6601020212276         -1.031716935818015E-5    0.5
0.10162760526736556       0.5                      20.65376860058278        -1.051317062743863E-5    0.5
0.10165883014688094       0.5                      20.64740930831485        -1.070978484800586E-5    0.5
0.10169005502639633       0.5                      20.641050060792054       -1.0906399068573048E-5   0.5
0.1017214364596352        0.5                      20.634664826976604       -1.1103626127852618E-5   0.5
0.10175281789287405       0.5                      20.62827960281524        -1.1300853187132143E-5   0.5
0.10178435666475755       0.5                      20.62186825909052        -1.149869294679127E-5    0.5
