% Model:              Height_Sweep_HighdefMappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 22:47
% Dimension:          2
% Nodes:              28470
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, 
% Length unit:        mm
% r                       z                        height                   ec.Jr (A/m^2)            v (m/s)                  height (mm)
0.10017709802521521       0.25                     5.0E-4                   43.028238863134575       -1.1808153690329506E-6   0.5
0.10035419605043042       0.25                     5.0E-4                   42.95222844145059        -2.361630685636896E-6    0.5
0.1                       0.25                     5.0E-4                   43.10429586894718        -5.2428984977634137E-14  0.5
0.10053208102076328       0.25                     5.0E-4                   42.87633219951101        -3.5350659135245414E-6   0.5
0.10070996599109613       0.25                     5.0E-4                   42.80043602231946        -4.708501141412146E-6    0.5
0.10088864140338188       0.25                     5.0E-4                   42.72462802725828        -5.874514309033259E-6    0.5
0.1010673168156676        0.25                     5.0E-4                   42.64882007107303        -7.040527476654078E-6    0.5
0.10124678618227981       0.25                     5.0E-4                   42.57307428510828        -8.199076423191662E-6    0.5
0.10142625554889205       0.25                     5.0E-4                   42.49732852506357        -9.357625369729226E-6    0.5
0.10160652239781189       0.25                     5.0E-4                   42.42161891179465        -1.0508667755242805E-5   0.5
0.10178678924673171       0.25                     5.0E-4                   42.34590930182445        -1.165971014075628E-5    0.5
0.10196785712161702       0.25                     5.0E-4                   42.270209832002834       -1.28032034567318E-5     0.5
0.1021489249965023        0.25                     5.0E-4                   42.194510345982934       -1.3946696772707092E-5   0.5
0.10233079745675733       0.25                     5.0E-4                   42.11879499885458        -1.5082598353020964E-5   0.5
0.1025126699170124        0.25                     5.0E-4                   42.04307961774607        -1.6218499933335025E-5   0.5
0.10269535053785787       0.25                     5.0E-4                   41.967322412677504       -1.7346766965637172E-5   0.5
0.10287803115870334       0.25                     5.0E-4                   41.89156514599749        -1.8475033997939136E-5   0.5
0.1030615235312467        0.25                     5.0E-4                   41.81574012705215        -1.9595623535457592E-5   0.5
0.10324501590379007       0.25                     5.0E-4                   41.739915027220505       -2.0716213072976E-5      0.5
0.103429323635096         0.25                     5.0E-4                   41.663996294785136       -2.1829082046747865E-5   0.5
0.10361363136640193       0.25                     5.0E-4                   41.58807745713233        -2.2941951020519696E-5   0.5
0.10379875807956332       0.25                     5.0E-4                   41.512039173926325       -2.4047056252052944E-5   0.5
0.1039838847927247        0.25                     5.0E-4                   41.436000760415794       -2.5152161483586166E-5   0.5
0.1041698341269339        0.25                     5.0E-4                   41.35981715587886        -2.6249459697956048E-5   0.5
0.1043557834611431        0.25                     5.0E-4                   41.283633398204586       -2.7346757912325916E-5   0.5
0.10454255907176335       0.25                     5.0E-4                   41.207278793957926       -2.8436205751707643E-5   0.5
0.10472933468238363       0.25                     5.0E-4                   41.13092400556857        -2.9525653591089476E-5   0.5
0.10491694024102105       0.25                     5.0E-4                   41.054372815474494       -3.060720762873283E-5    0.5
0.10510454579965843       0.25                     5.0E-4                   40.977821419935026       -3.168876166637598E-5    0.5
0.10529298499423403       0.25                     5.0E-4                   40.90104816917085        -3.276237842102266E-5    0.5
0.10548142418880967       0.25                     5.0E-4                   40.824274688274414       -3.383599517566944E-5    0.5
0.1056707007236321        0.25                     5.0E-4                   40.74725402716888        -3.490163112641751E-5    0.5
0.10585997725845452       0.25                     5.0E-4                   40.670233106383165       -3.5967267077165494E-5   0.5
0.10605009485429256       0.25                     5.0E-4                   40.59293982509223        -3.7024878678780144E-5   0.5
0.10624021245013063       0.25                     5.0E-4                   40.51564625272857        -3.808249028039486E-5    0.5
0.10643117484428669       0.25                     5.0E-4                   40.43805527987263        -3.9132033979072144E-5   0.5
0.10662213723844274       0.25                     5.0E-4                   40.36046399215556        -4.018157767774952E-5    0.5
0.10681394818482604       0.25                     5.0E-4                   40.28255042993368        -4.122300992732938E-5    0.5
0.1070057591312093        0.25                     5.0E-4                   40.20463652398985        -4.226444217690909E-5    0.5
0.10719842240040968       0.25                     5.0E-4                   40.126375654326864       -4.329771945554223E-5    0.5
0.10739108566961007       0.25                     5.0E-4                   40.048114404966526       -4.4330996734175425E-5   0.5
0.10758460504897238       0.25                     5.0E-4                   39.969481687885605       -4.5356075561445126E-5   0.5
0.1077781244283347        0.25                     5.0E-4                   39.89084856523027        -4.638115438871495E-5    0.5
